name;description;website;image_url;source_page;market;type;Location;Greater Stockholm Y/N
Fictive Reality AB;Fictive Reality utvecklar metaverse-baserade lösningar för lärande och rekrytering i immersiva virtuella miljöer. Företagets plattform använder virtual reality och deep tech för att skapa realistiska träningssimuleringar och interaktiva rekryteringsupplevelser. Fictive Reality möjliggör praktisk färdighetsträning i riskfria virtuella miljöer för yrken inom hälsovård, industri och service. Företaget erbjuder också VR-baserade bedömningsverktyg för att utvärdera kandidaters färdigheter i verklighetstrogna scenarier. Genom att kombinera gaming-teknologi med HR driver Fictive Reality innovation inom experiential learning.;https://www.fictivereality.com/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471822/recbgxK4miQUAFYPR.webp;https://www.ai-startups-europe.eu/p7?country%5B%5D=4000642;B2B;deep tech;Älvsjö, Sweden;No
Zentosa;Zentosa tillhandahåller kvalitetssäkrad träningsdata för maskininlärning och AI-projekt genom ett team av human-in-the-loop-experter. Företaget erbjuder pålitliga och trusted datasets för alla typer av use cases, från enkla till komplexa, genom att kontinuerligt träna, förbättra och utvärdera sin talangpool. Zentosa's beprövade leveransmodell ger kvalitetsdata i snabb takt och med skalbarhet, där den stora poolen av skicklig talang möjliggör uppskalning efter kundens behov. Företaget har djup erfarenhet från rekrytering och planering för många olika use cases. Zentosa kan hantera vilken mjukvara som helst som kunden använder och erbjuder flera säkra lösningar från on-premises till säkra remote contractors för att skydda kundens mest värdefulla tillgång - datan. Företaget är erkänt som Trusted Startup inom AI i Sverige och Europa av AI Sweden, Ignite Sweden och RISE, samt medlem i NVIDIA Inception Program. Zentosa hjälper maskininlärningsteam att fokusera på utveckling och deployment av AI-modeller medan Zentosa skapar datasets.;https://www.zentosa.se;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4472043/reckBbLH4U9Vzw1pG.webp;https://www.ai-startups-europe.eu/p21?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence, machine learning;Bromma, Stockholm;Yes
Vectorview;Vectorview utvecklar en plattform för att utvärdera kapaciteten hos foundation models och LLM-agenter genom skräddarsydda evalueringsverktyg. Företaget, som är del av Y Combinator W24-batchen, fokuserar på att göra det enkelt att red team för säkerhet och benchmarka prestanda genom custom task evaluators. Vectorview adresserar utmaningen att förhindra oönskade beteenden i LLM:er genom att tillhandahålla målriktade utvärderingar för specifika, verkliga scenarier snarare än generella benchmarks som MMLU eller BBQ. Plattformen erbjuder automatisk red-teaming för att identifiera och mitigera risker tidigt i deployment-processen, samt möjlighet att bedöma genomförbarheten av use cases innan utveckling påbörjas. Vectorview genomför också kritiska tester för self-replicating AI-system och andra potentiella existentiella risker. Tjänsten används av företag som arbetar med LLM-agenter eller foundation models och behöver säkerställa att AI beter sig som avsett utan biased, offensivt eller okontrollerbart beteende.;https://www.vectorview.ai/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471059/rec7F72VNzRwjD3lW.webp;https://www.ai-startups-europe.eu/p20?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence, saas;Bromma, Stockholm;Yes
Cocoon Airbag Protection AB;Cocoon Airbag Protection utvecklar världens första cykelbarnsäte med avancerad patenterad airbagteknik. Det svenska startupen adresserar problemet att traditionella cykelstolar inte erbjuder verkligt stötdämpskydd vid olyckor. Cocoons system använder smart krockdetektering som omedelbart aktiverar airbagen vid en olycka för att skydda barnets huvud, nacke och kropp. Den portabla airbagen fästs enkelt på cykelstolens inbyggda bas och kan tas med när man är klar. Produkten är designad av föräldrar för föräldrar med ambitionen att erbjuda samma säkerhet för andras barn som för sina egna. Säkerhetslösningen är utvecklad av säkerhetsexperter, bekväm att använda och byggd för dagligt bruk.;https://www.cocoonairbag.com/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471527/recOs8jOCGSxXN19x.webp;https://www.ai-startups-europe.eu/p4?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence;Eskilstuna, Sweden;No
Paniax;Paniax demokratiserar datavetenskap genom att göra avancerade dataanalys- och AI-verktyg tillgängliga för ett bredare användarsegment. Företaget fokuserar på att förenkla komplexa dataprocesser och göra dem mer lättillgängliga för organisationer som vill implementera AI och maskininlärning utan omfattande teknisk expertis. Paniax utvecklar lösningar inom forskning och utveckling som hjälper företag att utvinna värde från sina data genom användarvänliga gränssnitt och automatiserade arbetsflöden.;https://www.paniax.com;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471302/recGob8UwuxmAgNTG.webp;https://www.ai-startups-europe.eu/p15?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence, machine learning;Falköping, Sweden;No
CADcog;CADcog är en XR-plattform för att skapa inkluderande och tillgängliga produkter genom virtuell och förstärkt verklighet. Verktyget möjliggör interaktion med CAD-modeller som om de vore fysiska prototyper, vilket hjälper företag identifiera användbarhetsproblem och tillgänglighetshinder tidigt i utvecklingsprocessen. Detta leder till snabbare designiterationer, reducerade kostnader och effektivare arbetsflöden. CADcog integreras sömlöst i befintliga processer och säkerställer att produkter inte bara är användarvänliga utan också tillgängliga för en bredare publik. Plattformen är säker, enkel att använda och byggd för att stödja organisationer i att förfina sina designprocesser samtidigt som tillgänglighetsstandarder uppfylls.;https://www.cadcog.com/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4472334/recvvQH3ZXn3Zv7O4.webp;https://www.ai-startups-europe.eu/p3?country%5B%5D=4000642;B2B, enterprise software;saas;Gävle, Sweden;Nej
RoPhi AB;RoPhi arbetar med Industrial Edge Computing IoT och Robotics. Företaget utvecklar lösningar för edge computing i industriella miljöer där data bearbetas lokalt vid källan istället för att skickas till molnet. Detta är särskilt värdefullt för robotik- och IoT-applikationer där låg latens och hög tillförlitlighet är kritiskt. RoPhi:s teknologi möjliggör intelligent databearbetning i realtid direkt på produktionsgolvet, vilket förbättrar prestanda och minskar beroendet av internetanslutning för kritiska industriella processer.;https://rophi.se/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471300/recGiEtNBvLMJPg1O.webp;https://www.ai-startups-europe.eu/p17?country%5B%5D=4000642;B2B, enterprise software;iot internetofthings;Göteborg, Sweden;No
Algeno;Algeno erbjuder AI-styrd optimering av värmesystem för stora fastighetsbestånd, med målet att sänka uppvärmningskostnader samtidigt som ett stabilt och förutsägbart inomhusklimat säkerställs. Företagets tjänst kopplar samman temperatursensorer med AI som integrerar väderdata, information från fastighetens interna system och dygnstid för att proaktivt reglera värmen innan temperatur- och vädersvängningar inträffar. Systemet ger fastighetsägare full kontroll och rådighet över alla inställningar med realtidsdata tillgänglig för drifttekniker. Eftersom uppvärmning utgör den största delen av en fastighets årliga klimatavtryck och driftskostnad, kan Algenos lösning markant minska både utsläpp och kostnader genom effektivare energianvändning och reducerade maxeffekter. Tekniken har kort återbetalningstid och lär sig automatiskt anpassa sig till förändringar som fönsterbyten eller tilläggsisolering.;https://algeno.se/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4472097/recmXiMLkRy5L5CgC.webp;https://www.ai-startups-europe.eu/?country%5B%5D=4000642;B2B, energy, real estate;artificial intelligence, iot internetofthings, subscription;Göteborg, Sweden;No
Kluero;Kluero erbjuder en AI-baserad lösning för att optimera och förutsäga teamdynamik i organisationer. Företaget utvecklar verktyg för att analysera och förbättra teamarbete med en tidigare ouppnådd detaljnivå. Klueros teknologi kombinerar matematik, psykologi och datavetenskap för att hjälpa team förstå sina interna dynamiker, förbättra samarbetet och till och med förutsäga hur teamet effektivt kan expanderas. Forskning visar att upp till 65% av alla startups som misslyckas gör det på grund av dålig teamdynamik, vilket gör Kluero till ett viktigt verktyg för att förebygga teamrelaterade misslyckanden. Lösningen är särskilt användbar för startup-teams, rekrytering, onboarding och due diligence i VC- och M&A-processer. Kluero använder en modern interaktionsdriven analys istället för traditionella komponentdrivna metoder.;https://kluero.com/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4472360/recxDEQfdhrVpezwa.webp;https://www.ai-startups-europe.eu/p10?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence;Göteborg, Sweden;No
Kognic;Kognic utvecklar den ledande annotationsplattformen för sensor-fusion som används av globala aktörer för att accelerera utvecklingen av Embodied AI. Företaget tillhandahåller avancerade verktyg för att annotera och strukturera komplexa sensordata från kameror, lidar och andra sensorer som används i autonoma fordon och robotsystem. Kognics plattform möjliggör effektiv skapandet av högkvalitativa träningsdataset för maskininlärning med funktioner som auto-label co-pilot som kan spara upp till 68% av tiden för annotering. Plattformen stödjer hela pipelinen från import, annotering och verifiering till export av data. Kognic betjänar ledande företag som Zenseact, Qualcomm, Continental, Bosch, Volvo Group och Kodiak Robotics. Lösningen erbjuds både som annoterade dataset med managed workforce och som plattformslicenser för interna team.;https://www.kognic.com/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471479/recN8ESbFw4AKXaHL.webp;https://www.ai-startups-europe.eu/p10?country%5B%5D=4000642;B2B, B2C, enterprise software;artificial intelligence, machine learning, saas;Göteborg, Sweden;No
